date,holiday
1/1/2023,1
2/1/2023,1
3/1/2023,1
4/1/2023,0
5/1/2023,0
6/1/2023,0
7/1/2023,0
8/1/2023,0
9/1/2023,0
10/1/2023,0
11/1/2023,0
12/1/2023,0
13/01/2023,0
14/01/2023,0
15/01/2023,0
16/01/2023,0
17/01/2023,0
18/01/2023,0
19/01/2023,0
20/01/2023,0
21/01/2023,0
22/01/2023,0
23/01/2023,0
24/01/2023,0
25/01/2023,0
26/01/2023,0
27/01/2023,0
28/01/2023,0
29/01/2023,1
30/01/2023,1
31/01/2023,1
1/2/2023,1
2/2/2023,1
3/2/2023,1
4/2/2023,1
5/2/2023,1
6/2/2023,1
7/2/2023,0
8/2/2023,0
9/2/2023,0
10/2/2023,0
11/2/2023,0
12/2/2023,0
13/02/2023,0
14/02/2023,0
15/02/2023,0
16/02/2023,0
17/02/2023,0
18/02/2023,0
19/02/2023,0
20/02/2023,0
21/02/2023,0
22/02/2023,0
23/02/2023,0
24/02/2023,0
25/02/2023,0
26/02/2023,0
27/02/2023,0
28/02/2023,0
1/3/2023,0
2/3/2023,0
3/3/2023,0
4/3/2023,0
5/3/2023,0
6/3/2023,0
7/3/2023,0
8/3/2023,0
9/3/2023,0
10/3/2023,0
11/3/2023,0
12/3/2023,0
13/03/2023,0
14/03/2023,0
15/03/2023,0
16/03/2023,0
17/03/2023,0
18/03/2023,0
19/03/2023,0
20/03/2023,0
21/03/2023,0
22/03/2023,0
23/03/2023,0
24/03/2023,0
25/03/2023,0
26/03/2023,0
27/03/2023,0
28/03/2023,0
29/03/2023,0
30/03/2023,0
31/03/2023,0
1/4/2023,0
2/4/2023,0
3/4/2023,0
4/4/2023,0
5/4/2023,0
6/4/2023,0
7/4/2023,0
8/4/2023,0
9/4/2023,0
10/4/2023,1
11/4/2023,1
12/4/2023,0
13/04/2023,0
14/04/2023,0
15/04/2023,0
16/04/2023,0
17/04/2023,0
18/04/2023,0
19/04/2023,0
20/04/2023,0
21/04/2023,0
22/04/2023,0
23/04/2023,0
24/04/2023,0
25/04/2023,0
26/04/2023,0
27/04/2023,0
28/04/2023,0
29/04/2023,0
30/04/2023,1
1/5/2023,1
2/5/2023,1
3/5/2023,1
4/5/2023,0
5/5/2023,0
6/5/2023,0
7/5/2023,0
8/5/2023,0
9/5/2023,0
10/5/2023,0
11/5/2023,0
12/5/2023,0
13/05/2023,0
14/05/2023,0
15/05/2023,0
16/05/2023,0
17/05/2023,0
18/05/2023,0
19/05/2023,0
20/05/2023,0
21/05/2023,0
22/05/2023,0
23/05/2023,0
24/05/2023,0
25/05/2023,0
26/05/2023,0
27/05/2023,0
28/05/2023,0
29/05/2023,0
30/05/2023,0
31/05/2023,0
1/6/2023,1
2/6/2023,0
3/6/2023,0
4/6/2023,0
5/6/2023,0
6/6/2023,0
7/6/2023,0
8/6/2023,0
9/6/2023,0
10/6/2023,0
11/6/2023,0
12/6/2023,0
13/06/2023,0
14/06/2023,0
15/06/2023,0
16/06/2023,0
17/06/2023,0
18/06/2023,0
19/06/2023,0
20/06/2023,0
21/06/2023,0
22/06/2023,0
23/06/2023,0
24/06/2023,0
25/06/2023,0
26/06/2023,0
27/06/2023,0
28/06/2023,0
29/06/2023,0
30/06/2023,0
1/7/2023,
2/7/2023,
3/7/2023,
4/7/2023,
5/7/2023,
